pc1,pc2,pc3,file_name,label
4.199675566,-1.163509917,-1.819626034,animal_cat_0.jpg,animal_cat
5.493971816,-0.795208871,-1.937041256,animal_cat_102.jpg,animal_cat
4.712612442,-0.37148952,-1.45777456,animal_cat_104.jpg,animal_cat
4.73949064,-0.049686909,-1.260841168,animal_cat_105.jpg,animal_cat
4.614387672,0.257817797,-1.212442991,animal_cat_106.jpg,animal_cat
5.315110582,-0.757711344,-1.510314338,animal_cat_108.jpg,animal_cat
4.74691024,-1.275947535,-1.988434065,animal_cat_11.jpg,animal_cat
4.616933,-1.298974744,-1.764656856,animal_cat_112.jpg,animal_cat
4.392209061,-0.774403876,-1.782442204,animal_cat_115.jpg,animal_cat
6.111943981,0.239026588,-1.266306007,animal_cat_116.jpg,animal_cat
4.197411608,-1.243141944,-1.76230951,animal_cat_117.jpg,animal_cat
4.23353583,-1.100088958,-1.492392402,animal_cat_118.jpg,animal_cat
5.644104931,0.095086886,-1.269244453,animal_cat_119.jpg,animal_cat
3.772144297,-1.392020887,-1.497898329,animal_cat_120.jpg,animal_cat
5.249060915,-0.803816504,-1.658209507,animal_cat_121.jpg,animal_cat
5.765574898,-0.355096066,-1.280609016,animal_cat_122.jpg,animal_cat
5.992543113,-0.393340207,-1.295709073,animal_cat_123.jpg,animal_cat
5.540531053,-0.840668191,-1.814913135,animal_cat_124.jpg,animal_cat
5.693673907,0.046526477,-1.465126262,animal_cat_127.jpg,animal_cat
6.122826246,-0.154822763,-1.195992122,animal_cat_130.jpg,animal_cat
5.939871688,-0.479625225,-1.459812145,animal_cat_131.jpg,animal_cat
4.984125082,-1.63133735,-1.924150881,animal_cat_133.jpg,animal_cat
5.820466759,-0.286623931,-1.677792268,animal_cat_134.jpg,animal_cat
4.338235657,0.343432618,-1.144324354,animal_cat_135.jpg,animal_cat
5.36426614,-0.577572718,-1.568431672,animal_cat_136.jpg,animal_cat
5.734017219,-0.572581284,-1.700079623,animal_cat_138.jpg,animal_cat
4.832269015,-1.336788251,-1.736840072,animal_cat_143.jpg,animal_cat
4.568089673,-1.045200779,-1.713685856,animal_cat_144.jpg,animal_cat
4.659575434,-0.256917679,-1.587617973,animal_cat_146.jpg,animal_cat
6.237313553,-0.212617826,-1.522322512,animal_cat_147.jpg,animal_cat
5.859347908,-0.28306014,-1.60567636,animal_cat_149.jpg,animal_cat
4.459929285,-1.730830542,-2.046437433,animal_cat_15.jpg,animal_cat
3.89042395,-0.822962893,-1.054734765,animal_cat_150.jpg,animal_cat
6.289042542,-0.283343533,-1.240520619,animal_cat_154.jpg,animal_cat
5.733646627,-0.111535765,-1.382637648,animal_cat_157.jpg,animal_cat
5.108720732,-1.326230384,-1.806019075,animal_cat_159.jpg,animal_cat
5.257415022,-0.870537787,-1.725644646,animal_cat_160.jpg,animal_cat
4.21910242,-0.526468958,-1.735472883,animal_cat_161.jpg,animal_cat
4.78419161,-0.758909316,-1.970046737,animal_cat_169.jpg,animal_cat
5.053406008,-0.428433992,-1.776818298,animal_cat_171.jpg,animal_cat
4.683940778,-0.585178651,-1.702467298,animal_cat_176.jpg,animal_cat
6.160887771,-1.013835154,-1.569802178,animal_cat_178.jpg,animal_cat
5.241054886,0.008627274,-1.540351657,animal_cat_182.jpg,animal_cat
5.718522598,-0.265811412,-1.436118816,animal_cat_183.jpg,animal_cat
5.226017157,0.065200254,-1.248583561,animal_cat_185.jpg,animal_cat
4.801607967,-1.446855532,-1.59361148,animal_cat_186.jpg,animal_cat
5.968040848,-0.008675871,-1.450402916,animal_cat_188.jpg,animal_cat
4.284882642,-1.038657235,-1.713461229,animal_cat_19.jpg,animal_cat
4.886835353,-0.067919514,-1.376055815,animal_cat_190.jpg,animal_cat
5.36580522,-0.371618269,-1.615125296,animal_cat_193.jpg,animal_cat
5.813389797,0.006002674,-1.291955842,animal_cat_195.jpg,animal_cat
4.565688658,-0.497974806,-1.617875019,animal_cat_198.jpg,animal_cat
5.761826079,-0.684926389,-1.491087093,animal_cat_199.jpg,animal_cat
4.894738113,-0.90552764,-1.515762912,animal_cat_2.jpg,animal_cat
5.874119828,-0.355789892,-1.331050715,animal_cat_20.jpg,animal_cat
4.88949406,-0.424130743,-1.380383697,animal_cat_202.jpg,animal_cat
5.77737855,-0.004613168,-1.322830284,animal_cat_205.jpg,animal_cat
3.684038455,-0.652738586,-1.460216204,animal_cat_206.jpg,animal_cat
6.268945737,0.023389079,-1.19877547,animal_cat_209.jpg,animal_cat
5.118256718,-0.583490783,-1.793784317,animal_cat_21.jpg,animal_cat
5.193282041,-0.683104799,-1.67849821,animal_cat_212.jpg,animal_cat
5.687448952,-0.336841432,-1.409631095,animal_cat_216.jpg,animal_cat
5.914861113,-0.12536862,-1.297226828,animal_cat_217.jpg,animal_cat
5.07554647,0.363175878,-1.06691177,animal_cat_220.jpg,animal_cat
5.99788064,-0.610849602,-1.466109214,animal_cat_221.jpg,animal_cat
4.775958735,-0.560015281,-1.667219039,animal_cat_222.jpg,animal_cat
3.862200958,-1.457578543,-1.542504272,animal_cat_223.jpg,animal_cat
5.343097697,-0.998630649,-1.720184634,animal_cat_224.jpg,animal_cat
5.454318967,-0.091204938,-1.602032994,animal_cat_226.jpg,animal_cat
4.799403831,-1.747932632,-1.647912457,animal_cat_230.jpg,animal_cat
4.849508739,-0.529415937,-1.865984642,animal_cat_234.jpg,animal_cat
5.319025071,-1.340221463,-1.632576628,animal_cat_236.jpg,animal_cat
5.652427713,-0.340155549,-1.363149281,animal_cat_242.jpg,animal_cat
4.821801771,-1.042115689,-1.865757703,animal_cat_243.jpg,animal_cat
5.830103662,-0.378520989,-1.190564294,animal_cat_245.jpg,animal_cat
4.627787532,-0.95089899,-1.531468737,animal_cat_246.jpg,animal_cat
5.796290397,-0.225975147,-1.463975347,animal_cat_247.jpg,animal_cat
5.293965182,-1.30447084,-1.557685761,animal_cat_25.jpg,animal_cat
4.610062407,-0.148445536,-1.412899292,animal_cat_250.jpg,animal_cat
4.966817268,-0.091110847,-1.32369643,animal_cat_252.jpg,animal_cat
5.945524047,-0.116320028,-1.399067401,animal_cat_253.jpg,animal_cat
4.266034939,-0.47458547,-1.320605249,animal_cat_255.jpg,animal_cat
4.089002601,-0.732380438,-1.639848234,animal_cat_256.jpg,animal_cat
5.59540625,-0.487409908,-1.622808369,animal_cat_257.jpg,animal_cat
5.771739372,-0.481652961,-1.572862345,animal_cat_259.jpg,animal_cat
5.589905689,-0.405032668,-1.673273419,animal_cat_26.jpg,animal_cat
5.915700286,-0.43324841,-1.231486294,animal_cat_261.jpg,animal_cat
5.792319165,-0.383509621,-1.38183088,animal_cat_267.jpg,animal_cat
5.552879179,-0.134009304,-1.348736029,animal_cat_269.jpg,animal_cat
4.562599861,-0.754895171,-1.558688871,animal_cat_270.jpg,animal_cat
5.518553156,-0.161672652,-1.639546277,animal_cat_271.jpg,animal_cat
5.532718858,-0.238337158,-1.322763454,animal_cat_273.jpg,animal_cat
5.044100882,-0.833376386,-1.580062559,animal_cat_274.jpg,animal_cat
5.46335556,-0.334918008,-1.6041403,animal_cat_276.jpg,animal_cat
5.031894989,-0.384176565,-1.158032084,animal_cat_279.jpg,animal_cat
6.206900766,-0.875169671,-1.389134028,animal_cat_281.jpg,animal_cat
5.302898498,-0.872396693,-1.32542095,animal_cat_282.jpg,animal_cat
